NACA 64A204
1.0000 0.0000
0.9500 0.004673
0.9000 0.009310
0.8500 0.013753
0.8000 0.018018
0.7500 0.021579
0.7000 0.024630
0.6500 0.027223
0.6000 0.029353
0.5500 0.031015
0.5000 0.032180
0.4500 0.032794
0.4000 0.032775
0.3500 0.032074
0.3000 0.030785
0.2500 0.028900
0.2000 0.026363
0.1500 0.023062
0.1000 0.018798
0.0750 0.016156
0.0500 0.013029
0.0250 0.009042
0.0125 0.006350
0.0075 0.004925
0.0050 0.004052
0.0000 0.0000
0.0000 -0.0000
0.0050 -0.002717
0.0075 -0.003183
0.0125 -0.003792
0.0250 -0.004714
0.0500 -0.005731
0.0750 -0.006358
0.1000 -0.006817
0.1500 -0.007407
0.2000 -0.007732
0.2500 -0.007854
0.3000 -0.007804
0.3500 -0.007592
0.4000 -0.007198
0.4500 -0.006513
0.5000 -0.005580
0.5500 -0.004489
0.6000 -0.003315
0.6500 -0.002117
0.7000 -0.000960
0.7500 0.000046
0.8000 0.000702
0.8500 0.000701
0.9000 0.000517
0.9500 0.000241
1.0000 -0.0000
